1,"AFG","Afeganistão"
2,"AFS","África do Sul"
3,"AHL","Antilhas Holandesas"
4,"ALB","Albânia"
5,"ANB","Antigua"
6,"AND","Andorra"
7,"ANG","Angola"
8,"ARA","Arábia Saudita"
9,"ARG","Argentina"
10,"ARL","Argélia"
11,"ARM","Armênia"
12,"ASM","Samoa Americana"
13,"ATC","Antartida"
14,"AUS","Austrália"
15,"AUT","Austria"
16,"AZE","Azerbaijão"
17,"BAR","Barein"
18,"BEA","Belarus"
19,"BEL","Bélgica"
20,"BEN","Benin"
21,"BER","Bermudas"
22,"BGD","Bangladesh"
23,"BHS","Bahamas"
24,"BIR","Birmânia"
25,"BKF","Burkina Fasso"
26,"BLZ","Belize"
27,"BOL","Bolívia"
28,"BOS","Bósnia"
29,"BOT","Botsuana"
30,"BRA","Brasil"
31,"BRB","Barbados"
32,"BRN","Brunei"
33,"BUL","Bulgária"
34,"BUR","Burundi"
35,"BUT","Butão"
36,"CAM","Camarões"
37,"CAN","Canadá"
38,"CAT","Catar"
39,"CAZ","Cazaquistão"
40,"CBJ","Camboja"
41,"CBV","Cabo Verde"
42,"CCK","Ilhas Cocos"
43,"CHA","Chade"
44,"CHL","Chile"
45,"CHN","China"
46,"CHP","Chipre"
47,"CIN","Cingapura"
48,"CMF","Costa do Marfim"
49,"COK","Ilhas Cook"
50,"COL","Colômbia"
51,"COM","Comores"
52,"CON","Congo"
53,"CRC","Costa Rica"
54,"CRN","Coréia do Norte"
55,"CRO","Croácia"
56,"CRS","Coréia do Sul"
57,"CUB","Cuba"
58,"CXR","Christmas Island"
59,"CYM","Ilhas Cayman"
60,"DIN","Dinamarca"
61,"DJI","Djibuti"
62,"DOM","República Dominicana"
63,"DON","Dominica"
64,"EAU","Emirados Árabes"
65,"EGI","Egito"
66,"ELS","El Salvador"
67,"EQU","Equador"
68,"ERT","Eritréa"
69,"ESC","Escócia"
70,"ESH","Western Sahara"
71,"ESP","Espanha"
72,"EST","Estônia"
73,"ETP","Etiópia"
74,"EUA","Estados Unidos"
75,"FIL","Filipinas"
76,"FIN","Finlândia"
77,"FJI","Fiji"
78,"FLK","Ilhas Falkland"
79,"FOR","Formosa"
80,"FRA","França"
81,"FSM","Micronésia"
82,"GAB","Gabão"
83,"GAL","Gales"
84,"GAM","Gâmbia"
85,"GAN","Gana"
86,"GBR","Grã-Bretanha"
87,"GDL","Guadalupe"
88,"GEO","Geórgia"
89,"GFR","Guiana Francesa"
90,"GIB","Gibraltar"
91,"GNB","Guiné Bissau"
92,"GNE","Guiné"
93,"GNQ","Guiné Equatorial"
94,"GRD","Granada"
95,"GRE","Grécia"
96,"GRL","Groênlandia"
97,"GUA","Guatemala"
98,"GUI","Guiana"
99,"GUM","Guam"
100,"HKG","Hong Kong"
101,"HOL","Holanda"
102,"HON","Honduras"
103,"HTI","Haiti"
104,"HUN","Hungria"
105,"IDN","Indonésia"
106,"IEM","Iêmem"
107,"IFA","Ilhas Faroe"
108,"IMH","Ilhas Marshall"
109,"IMS","Iêmen do Sul"
110,"IND","Índia"
111,"ING","Inglaterra"
112,"IOT","Britsh Indian Ocean"
113,"IRA","Irã"
114,"IRL","Irlanda"
115,"IRN","Irlanda do Norte"
116,"IRQ","Iraque"
117,"ISL","Islândia"
118,"ISR","Israel"
119,"ITA","Itália"
120,"IUG","Iugoslávia"
121,"IVA","Ilhas Vírgens EUA"
122,"JAM","Jamaica"
123,"JAP","Japão"
124,"JOR","Jordânia"
125,"KIR","Kiribati"
126,"KNA","São Cristóvão Nevis"
127,"KWT","Kuweit"
128,"LAO","Laos"
129,"LBN","Líbano"
130,"LBR","Libéria"
131,"LCA","Santa Lúcia"
132,"LES","Lesoto"
133,"LET","Letônia"
134,"LIB","Líbia"
135,"LIE","Liechtenstein"
136,"LIT","Lituânia"
137,"LUX","Luxemburgo"
138,"MAC","Macau"
139,"MAD","Madagascar"
140,"MAL","Malásia"
141,"MAR","Marrocos"
142,"MAU","Maurício"
143,"MBQ","Moçambique"
144,"MCD","Macedônia"
145,"MDV","Maldivas"
146,"MEX","México"
147,"MGL","Mongólia"
148,"MID","Ilhas Midway"
149,"MLI","Mali"
150,"MLT","Malta"
151,"MLV","Malavi"
152,"MMR","Mianmar"
153,"MOL","Moldova"
154,"MON","Mônaco"
155,"MRT","Martinica"
156,"MSR","Montserrat"
157,"MTN","Mauritânia"
158,"NAM","Namíbia"
159,"NCL","Nova Caledônia"
160,"NFK","Ilhas Norfolk"
161,"NGA","Nigéria"
162,"NIC","Nicarágua"
163,"NIG","Niger"
164,"NIU","Niue"
165,"NOR","Noruega"
166,"NPL","Nepal"
167,"NRU","Nauru"
168,"NZL","Nova Zelândia"
169,"OMA","Oma"
170,"PAN","Panamá"
171,"PAQ","Paquistão"
172,"PCI","Pacific Islands"
173,"PCN","Pitcairn"
174,"PER","Peru"
175,"PLF","Polinésia Francesa"
176,"PLU","Palau"
177,"PNG","Papua Nova Guiné"
178,"POL","Polônia"
179,"POR","Portugal"
180,"PRG","Paraguai"
181,"PTR","Porto Rico"
182,"QUE","Quênia"
183,"QUI","Quirgistão"
184,"RCA","Rep.Centro-Africana"
185,"REU","Reunião"
186,"RFA","Alemanha"
187,"ROM","Romênia"
188,"RSS","Rússia"
189,"RUA","Ruanda"
190,"SAM","Samoa Ocidental"
191,"SEN","Senegal"
192,"SHN","Ilhas Santa Helena"
193,"SIR","Síria"
194,"SLB","Ilhas Salamão"
195,"SMR","San Marino"
196,"SOM","Somália"
197,"SPM","São Pedro Miquelon"
198,"SRI","Sri Lanka"
199,"SRL","Serra Leoa"
200,"STP","São Tomé e Príncipe"
201,"SUA","Suazilândia"
202,"SUD","Sudão"
203,"SUE","Suécia"
204,"SUI","Suiça"
205,"SUR","Suriname"
206,"SVK","Eslováquia"
207,"SVN","Eslovênia"
208,"SYC","Seychelles"
209,"TAD","Tadjaquistão"
210,"TAI","Tailândia"
211,"TAN","Tanzânia"
212,"TCA","Ilhas Turcas Caicos"
213,"TCH","República Tcheca"
214,"TGO","Togo"
215,"TKL","Tokelau"
216,"TMP","Timor"
217,"TON","Tonga"
218,"TRT","Trinidad e Tobago"
219,"TUC","Turcomenistão"
220,"TUN","Tunísia"
221,"TUR","Turquia"
222,"TUV","Tuvalu"
223,"UCR","Ucrânia"
224,"UGA","Uganda"
225,"URS","União Soviética"
226,"URU","Uruguai"
227,"UZB","Uzbekistan"
228,"VAT","Vaticano"
229,"VCT","São Vicente Granadi"
230,"VEN","Venezuela"
231,"VGB","Ilhas Vírgens GBR"
232,"VTN","Vietnã"
233,"VUT","Vanuatu"
234,"WAK","Ilhas Wake"
235,"WLF","Ilhas Wallis Futuna"
236,"ZAN","Zâmbia"
237,"ZAR","Zaire"
238,"ZIN","Zimbabue"
